playerTransformPositions: x = 12.22715, z = 15.78804 
playerTransformPositions: x = 12.20026, z = 15.77772 
playerTransformPositions: x = 12.1784, z = 15.76933 
playerTransformPositions: x = 12.14671, z = 15.75716 
playerTransformPositions: x = 12.11908, z = 15.74656 
playerTransformPositions: x = 12.0977, z = 15.73835 
playerTransformPositions: x = 12.06563, z = 15.72604 
playerTransformPositions: x = 12.03997, z = 15.71619 
playerTransformPositions: x = 12.01187, z = 15.7054 
playerTransformPositions: x = 11.98707, z = 15.69588 
playerTransformPositions: x = 11.958, z = 15.68472 
playerTransformPositions: x = 11.93152, z = 15.67456 
playerTransformPositions: x = 11.90652, z = 15.66496 
playerTransformPositions: x = 11.88756, z = 15.65768 
playerTransformPositions: x = 11.86058, z = 15.64733 
playerTransformPositions: x = 11.83128, z = 15.63608 
playerTransformPositions: x = 11.80631, z = 15.62649 
playerTransformPositions: x = 11.77995, z = 15.61638 
playerTransformPositions: x = 11.75233, z = 15.60577 
playerTransformPositions: x = 11.72336, z = 15.59465 
playerTransformPositions: x = 11.69235, z = 15.59519 
playerTransformPositions: x = 11.67048, z = 15.59558 
playerTransformPositions: x = 11.63348, z = 15.59622 
playerTransformPositions: x = 11.60501, z = 15.59672 
playerTransformPositions: x = 11.57741, z = 15.5972 
playerTransformPositions: x = 11.55285, z = 15.59763 
playerTransformPositions: x = 11.52353, z = 15.59814 
playerTransformPositions: x = 11.49928, z = 15.59857 
playerTransformPositions: x = 11.47009, z = 15.59907 
playerTransformPositions: x = 11.44549, z = 15.5995 
playerTransformPositions: x = 11.42374, z = 15.59988 
playerTransformPositions: x = 11.39371, z = 15.60041 
playerTransformPositions: x = 11.35772, z = 15.60104 
playerTransformPositions: x = 11.32925, z = 15.60153 
playerTransformPositions: x = 11.30301, z = 15.60199 
playerTransformPositions: x = 11.27791, z = 15.60243 
playerTransformPositions: x = 11.24922, z = 15.60293 
playerTransformPositions: x = 11.2219, z = 15.6034 
playerTransformPositions: x = 11.19571, z = 15.60386 
playerTransformPositions: x = 11.163, z = 15.60443 
playerTransformPositions: x = 11.13946, z = 15.60484 
playerTransformPositions: x = 11.10786, z = 15.6054 
playerTransformPositions: x = 11.08052, z = 15.60587 
playerTransformPositions: x = 11.05163, z = 15.60638 
playerTransformPositions: x = 11.02887, z = 15.60677 
playerTransformPositions: x = 10.99706, z = 15.60733 
playerTransformPositions: x = 10.97009, z = 15.6078 
playerTransformPositions: x = 10.94516, z = 15.60823 
playerTransformPositions: x = 10.9181, z = 15.60871 
playerTransformPositions: x = 10.88643, z = 15.60926 
playerTransformPositions: x = 10.86013, z = 15.60972 
playerTransformPositions: x = 10.82553, z = 15.61032 
playerTransformPositions: x = 10.79761, z = 15.61081 
playerTransformPositions: x = 10.76629, z = 15.61136 
playerTransformPositions: x = 10.73431, z = 15.61191 
playerTransformPositions: x = 10.70422, z = 15.61244 
playerTransformPositions: x = 10.67615, z = 15.61293 
playerTransformPositions: x = 10.64741, z = 15.61343 
playerTransformPositions: x = 10.61832, z = 15.61394 
playerTransformPositions: x = 10.58774, z = 15.61447 
playerTransformPositions: x = 10.56154, z = 15.61493 
playerTransformPositions: x = 10.52988, z = 15.61548 
playerTransformPositions: x = 10.51371, z = 15.61576 
playerTransformPositions: x = 10.4808, z = 15.61634 
playerTransformPositions: x = 10.45661, z = 15.61676 
playerTransformPositions: x = 10.42081, z = 15.61738 
playerTransformPositions: x = 10.4022, z = 15.61771 
playerTransformPositions: x = 10.37103, z = 15.61825 
playerTransformPositions: x = 10.33903, z = 15.61881 
playerTransformPositions: x = 10.30928, z = 15.61933 
playerTransformPositions: x = 10.28355, z = 15.61978 
playerTransformPositions: x = 10.25313, z = 15.62031 
playerTransformPositions: x = 10.22476, z = 15.62081 
playerTransformPositions: x = 10.19995, z = 15.62124 
playerTransformPositions: x = 10.16768, z = 15.62181 
playerTransformPositions: x = 10.14075, z = 15.62228 
playerTransformPositions: x = 10.11914, z = 15.62265 
playerTransformPositions: x = 10.09125, z = 15.62314 
playerTransformPositions: x = 10.05748, z = 15.62373 
playerTransformPositions: x = 10.03181, z = 15.62418 
playerTransformPositions: x = 10.00471, z = 15.62465 
playerTransformPositions: x = 9.977743, z = 15.62512 
playerTransformPositions: x = 9.95109, z = 15.62559 
playerTransformPositions: x = 9.926711, z = 15.62601 
playerTransformPositions: x = 9.89955, z = 15.62649 
playerTransformPositions: x = 9.871872, z = 15.62697 
playerTransformPositions: x = 9.841415, z = 15.6275 
playerTransformPositions: x = 9.811572, z = 15.62802 
playerTransformPositions: x = 9.787364, z = 15.62844 
playerTransformPositions: x = 9.760802, z = 15.62891 
playerTransformPositions: x = 9.726499, z = 15.62951 
playerTransformPositions: x = 9.704788, z = 15.62988 
playerTransformPositions: x = 9.671443, z = 15.63047 
playerTransformPositions: x = 9.651653, z = 15.63081 
playerTransformPositions: x = 9.620213, z = 15.63136 
playerTransformPositions: x = 9.597385, z = 15.61596 
playerTransformPositions: x = 9.57444, z = 15.60049 
playerTransformPositions: x = 9.54924, z = 15.58349 
playerTransformPositions: x = 9.525763, z = 15.56765 
playerTransformPositions: x = 9.509551, z = 15.55672 
playerTransformPositions: x = 9.47949, z = 15.53644 
